benchmark_id,query_id,query_text_gold,query_norm,route,resolution_method,resolution_confidence,resolution_note,row_count,canonical_intent,persona_hint,observed_intents,observed_personas,source_files,query_text_pred,predicted_route,raw_predicted_route,confidence,policy_reason,latency_ms,estimated_cost_usd,model,model_status,correct,false_short_circuit
qirv1-0190,c9d1bed90cdb9507,how to build a more racially and ethnically diverse incoming class,how to build a more racially and ethnically diverse incoming class,medium,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,filtered_search,college,filtered_search:1,college:1,Data - Edward.csv,how to build a more racially and ethnically diverse incoming class,short_circuit,short_circuit,0.851092817868917,accepted_model_prediction,3.9991610000100764,0.0,calibrated_word_char_shape_linearsvc,real,False,True
qirv1-0071,5e61222de7f07ece,schools with on-campus escape rooms,schools with on-campus escape rooms,medium,unanimous_observed,1.0,All valid historical route labels agree,1,filter_search,high_school_student,filter_search:1,high_school_student:1,Data Anthony.csv,schools with on-campus escape rooms,short_circuit,short_circuit,0.8248856734136744,accepted_model_prediction,3.913341000000514,0.0,calibrated_word_char_shape_linearsvc,real,False,True
qirv1-0247,7fdd3cf06d6ff34b,marketing collaborative eng culture better,marketing collaborative eng culture better,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,strategy,college_admissions_officer,strategy:1,college_admissions_officer:1,Data - Nimisha.csv,marketing collaborative eng culture better,llm_needed,llm_needed,0.8511715745663726,accepted_model_prediction,4.094023999996921,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0085,c54d6650d4b651c3,engineering schools where undergrads publish before senior year,engineering schools where undergrads publish before senior year,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Nimisha.csv,engineering schools where undergrads publish before senior year,medium,medium,0.819346246247174,accepted_model_prediction,4.0012229999888405,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0223,f5f24029a3c91b46,what is Phi Beta Kappa and is it worth pursuing,what is phi beta kappa and is it worth pursuing,medium,unanimous_observed,1.0,All valid historical route labels agree,1,factual,college_student,factual:1,college_student:1,Data - Ridhi.csv,what is Phi Beta Kappa and is it worth pursuing,llm_needed,llm_needed,0.798654890904873,accepted_model_prediction,3.9192499999956,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0170,d36cd70a16d28378,Community college STEM faculty office hours?,community college stem faculty office hours,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,community_college_student,attribute_lookup:1,community_college_student:1,Data - Nimisha.csv,Community college STEM faculty office hours?,medium,short_circuit,0.7894944871040201,short_circuit_safety_escalation,3.9842879999980596,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0219,d709daa610964a05,how to build a resource library for advisors that includes major and career information,how to build a resource library for advisors that includes major and career information,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,advisory,advisor,advisory:1,advisor:1,Data - Ridhi.csv,how to build a resource library for advisors that includes major and career information,medium,short_circuit,0.7866539947102096,short_circuit_safety_escalation,4.083167999993975,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0174,44162869e01615f1,colleges that accept community college associate degrees,colleges that accept community college associate degrees,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,college_student,attribute_lookup:1,college_student:1,Data - Edward.csv,colleges that accept community college associate degrees,medium,short_circuit,0.785517509460563,short_circuit_safety_escalation,3.9795709999879136,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0102,5b0a38d9ec0d75a1,universities with research in computational biology,universities with research in computational biology,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,highschool_student,attribute_lookup:1,highschool_student:1,Data - Ridhi.csv,universities with research in computational biology,medium,short_circuit,0.7832978580369012,short_circuit_safety_escalation,3.9969970000015564,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0239,32baaa712b1edc1c,does wake forest track student progress well,does wake forest track student progress well,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,parent,attribute_lookup:1,parent:1,Data Anthony.csv,does wake forest track student progress well,medium,short_circuit,0.7676954879434819,short_circuit_safety_escalation,4.006411000005983,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0057,32840d06393fa4f9,how to advise students preparing for behavioral job interviews,how to advise students preparing for behavioral job interviews,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,advisor,attribute_lookup:1,advisor:1,Data - Edward.csv,how to advise students preparing for behavioral job interviews,llm_needed,llm_needed,0.7585106050019707,accepted_model_prediction,4.129246999994507,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0097,31a83b7de52aeb40,universities with social work degrees,universities with social work degrees,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,highschool_student,attribute_lookup:1,highschool_student:1,Data - Edward.csv,universities with social work degrees,medium,short_circuit,0.7562312393063321,short_circuit_safety_escalation,3.964848999999049,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0022,5f5f4d30730cdbea,how to create a retention dashboard to track institutional progress,how to create a retention dashboard to track institutional progress,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,college,attribute_lookup:1,college:1,Data - Edward.csv,how to create a retention dashboard to track institutional progress,medium,short_circuit,0.7504141171050258,short_circuit_safety_escalation,4.029997000003505,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0126,3c1512fc5ca6288b,how to build institutional infrastructure for a study abroad office,how to build institutional infrastructure for a study abroad office,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,college,attribute_lookup:1,college:1,Data - Edward.csv,how to build institutional infrastructure for a study abroad office,medium,short_circuit,0.7444258017238399,short_circuit_safety_escalation,4.0320510000100285,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0016,524d61e17e357686,Arizona State,arizona state,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,14,exact_lookup,college_student,exact_lookup:14,college_student:6|counselor_teacher:2|high_school_student:1|parent:5,Data - Shivansh.csv,Arizona State,medium,short_circuit,0.7422552894942308,short_circuit_safety_escalation,4.074934999991342,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0112,fed3b773785f35cd,job placement for Northwestern,job placement for northwestern,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,2,attribute_lookup,advisor,attribute_lookup:2,advisor:2,Data - Shivansh.csv,job placement for Northwestern,medium,medium,0.732274149838116,accepted_model_prediction,3.991468999998915,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0142,3cb70c515310d8a4,schools with art and creative talent scholarships,schools with art and creative talent scholarships,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,highschool_student,attribute_lookup:1,highschool_student:1,Data - Edward.csv,schools with art and creative talent scholarships,medium,medium,0.7243445528768908,accepted_model_prediction,3.9457510000033835,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0149,d5189f829991f10d,what is the drop add period and how do I use it,what is the drop add period and how do i use it,medium,unanimous_observed,1.0,All valid historical route labels agree,1,factual,college_student,factual:1,college_student:1,Data - Ridhi.csv,what is the drop add period and how do I use it,llm_needed,llm_needed,0.7160820980602888,accepted_model_prediction,3.9405920000064043,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0203,3b3ab72b0d740cac,engineering programs with strong alumni mentorship networks,engineering programs with strong alumni mentorship networks,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,high_school_student,attribute_lookup:1,high_school_student:1,Data - Nimisha.csv,engineering programs with strong alumni mentorship networks,medium,short_circuit,0.7102035324770282,short_circuit_safety_escalation,4.051809999992884,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0208,79deefc291b045b2,student wants tech career but dislikes coding,student wants tech career but dislikes coding,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,advisory,counselor,advisory:1,counselor:1,Data - Nimisha.csv,student wants tech career but dislikes coding,complex,complex,0.7098808391232344,accepted_model_prediction,3.9932020000037483,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0288,b885a9a9de173f21,how to build an accelerated degree pathway for high-performing students,how to build an accelerated degree pathway for high-performing students,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,college,attribute_lookup:1,college:1,Data - Edward.csv,how to build an accelerated degree pathway for high-performing students,medium,short_circuit,0.7018969873788561,short_circuit_safety_escalation,4.074664999990318,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0300,1378980107287dc4,universities with high numbers of NSF fellowship winners,universities with high numbers of nsf fellowship winners,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,highschool_student,attribute_lookup:1,highschool_student:1,Data - Edward.csv,universities with high numbers of NSF fellowship winners,medium,short_circuit,0.68235573866827,short_circuit_safety_escalation,4.038420000000542,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0064,e3681fa197f93132,schools with campus zip lines or adventure courses,schools with campus zip lines or adventure courses,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,highschool_student,attribute_lookup:1,highschool_student:1,Data - Edward.csv,schools with campus zip lines or adventure courses,medium,short_circuit,0.6695611689490525,short_circuit_safety_escalation,3.9497060000002193,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0003,0400ac4ceff3aa72,can we integrate your platform with our CRM system,can we integrate your platform with our crm system,complex,unanimous_observed,1.0,All valid historical route labels agree,1,technical,college_b2b,technical:1,college_b2b:1,Data - Ridhi.csv,can we integrate your platform with our CRM system,medium,medium,0.6688765581316914,accepted_model_prediction,4.96948599999314,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0236,c05cdd6b39de4a5c,schools with strong programs for students who grew up abroad or are third culture kids,schools with strong programs for students who grew up abroad or are third culture kids,medium,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,filtered_search,independent_counselor,filtered_search:1,independent_counselor:1,Data Anthony.csv,schools with strong programs for students who grew up abroad or are third culture kids,llm_needed,llm_needed,0.6646669571543433,accepted_model_prediction,4.047634000002631,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0218,70610cccbe94fa73,how to run effective group advising or workshop sessions,how to run effective group advising or workshop sessions,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,advisor,attribute_lookup:1,advisor:1,Data - Edward.csv,how to run effective group advising or workshop sessions,llm_needed,llm_needed,0.6551607158226899,accepted_model_prediction,4.001223000003051,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0155,210e546b1c7c4e8c,how to design a campus food pantry to address student hunger,how to design a campus food pantry to address student hunger,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,college,attribute_lookup:1,college:1,Data - Edward.csv,how to design a campus food pantry to address student hunger,medium,short_circuit,0.6528446704101184,short_circuit_safety_escalation,4.019270999989999,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0292,3c6d5bf0eed1b139,what is the nearest airport to schools in really remote locations,what is the nearest airport to schools in really remote locations,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,advisory,parent,advisory:1,parent:1,Data Anthony.csv,what is the nearest airport to schools in really remote locations,medium,medium,0.6381285496883143,accepted_model_prediction,4.021314000013376,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0104,0682d4ed720c5fc2,universities where freshmen cannot be cut from engineering,universities where freshmen cannot be cut from engineering,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,parent,attribute_lookup:1,parent:1,Data - Nimisha.csv,universities where freshmen cannot be cut from engineering,medium,medium,0.6353818285813253,accepted_model_prediction,3.970856999998773,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0253,b01159e73b8fb6bb,improve student match quality,improve student match quality,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,recommendation,college_b2b,recommendation:1,college_b2b:1,Data - Anika.csv,improve student match quality,medium,short_circuit,0.6338426035323758,short_circuit_safety_escalation,3.9708780000040633,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0147,1850316812fc133f,what extracurriculars do top colleges actually care about,what extracurriculars do top colleges actually care about,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,advisory,parent,advisory:1,parent:1,Data - Ridhi.csv,what extracurriculars do top colleges actually care about,medium,medium,0.6243112155845626,accepted_model_prediction,4.009445999997752,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0141,b981a35ed74be267,what is the best practice for responding to student inquiries through your system,what is the best practice for responding to student inquiries through your system,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,advisory,college_b2b,advisory:1,college_b2b:1,Data - Ridhi.csv,what is the best practice for responding to student inquiries through your system,medium,medium,0.6184956419811616,accepted_model_prediction,4.053381999995054,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0278,282b961075423f6d,does your platform allow us to run surveys of students who viewed our profile,does your platform allow us to run surveys of students who viewed our profile,medium,unanimous_observed,1.0,All valid historical route labels agree,1,factual,college_b2b,factual:1,college_b2b:1,Data - Ridhi.csv,does your platform allow us to run surveys of students who viewed our profile,llm_needed,llm_needed,0.6179891075917029,accepted_model_prediction,4.1458620000014434,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0008,a296ec02e7ceeb39,how to advise students about the value of internships and when to pursue them,how to advise students about the value of internships and when to pursue them,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,advisory,advisor,advisory:1,advisor:1,Data - Ridhi.csv,how to advise students about the value of internships and when to pursue them,medium,short_circuit,0.609432313341575,short_circuit_safety_escalation,4.887101999997867,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0274,74a79c5668feabb4,how to write effective advising case notes and summaries,how to write effective advising case notes and summaries,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,advisor,attribute_lookup:1,advisor:1,Data - Edward.csv,how to write effective advising case notes and summaries,llm_needed,llm_needed,0.6052632962257747,accepted_model_prediction,4.0198220000036144,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0033,95c38609200d027a,universities with strong linguistics research,universities with strong linguistics research,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,highschool_student,attribute_lookup:1,highschool_student:1,Data - Ridhi.csv,universities with strong linguistics research,medium,short_circuit,0.593413166148269,short_circuit_safety_escalation,3.9827159999958894,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0299,54bd1d47af29caeb,schools with cooperative education programs and top accounting majors,schools with cooperative education programs and top accounting majors,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,multi_constraint,highschool_student,multi_constraint:1,highschool_student:1,Data - Edward.csv,schools with cooperative education programs and top accounting majors,medium,medium,0.5914666958138116,accepted_model_prediction,4.087414000011336,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0095,7af46f1c6cfee9c7,how to request an extension on an assignment,how to request an extension on an assignment,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,advisory,college_student,advisory:1,college_student:1,Data - Ridhi.csv,how to request an extension on an assignment,medium,short_circuit,0.5828382065959836,short_circuit_safety_escalation,3.9637570000081723,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0175,a293fa8c17d0bfcb,which schools offer campus culture and inclusion and allow early application deadlines,which schools offer campus culture and inclusion and allow early application deadlines,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,5,attribute_lookup,parent,attribute_lookup:5,parent:5,Data - Edward.csv,which schools offer campus culture and inclusion and allow early application deadlines,medium,short_circuit,0.5561799938207104,short_circuit_safety_escalation,4.027653000008513,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0291,70349999798bd381,schools with strong industrial engineering programs,schools with strong industrial engineering programs,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,highschool_student,attribute_lookup:1,highschool_student:1,Data - Edward.csv,schools with strong industrial engineering programs,medium,medium,0.5490418948419334,accepted_model_prediction,3.980071000000862,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0153,7c3df0d8834deef8,comparing cs salary outcomes across regions for my son,comparing cs salary outcomes across regions for my son,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,parent,attribute_lookup:1,parent:1,Data - Nimisha.csv,comparing cs salary outcomes across regions for my son,llm_needed,llm_needed,0.5280427736337396,accepted_model_prediction,3.992740999990474,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0111,bb57671c13254ded,how to advocate for systemic changes in curriculum or policy that affect students,how to advocate for systemic changes in curriculum or policy that affect students,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,advisory,advisor,advisory:1,advisor:1,Data - Ridhi.csv,how to advocate for systemic changes in curriculum or policy that affect students,medium,medium,0.524418890995407,accepted_model_prediction,4.151331000002756,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0280,b9516ad2188df690,colleges with strong cognitive science + philosophy programs,colleges with strong cognitive science + philosophy programs,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,multi_constraint,highschool_student,multi_constraint:1,highschool_student:1,Data - Ridhi.csv,colleges with strong cognitive science + philosophy programs,medium,medium,0.5206014104173465,accepted_model_prediction,4.064378999999008,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0282,c3b8a4c7565d5d78,how to advise students about apprenticeship programs as alternatives to traditional degrees,how to advise students about apprenticeship programs as alternatives to traditional degrees,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,advisor,attribute_lookup:1,advisor:1,Data - Edward.csv,how to advise students about apprenticeship programs as alternatives to traditional degrees,medium,short_circuit,0.5186456903396849,short_circuit_safety_escalation,4.13365400000032,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0107,8370621ed402a1ee,four year cost of University of Washington including housing,four year cost of university of washington including housing,medium,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,2,career_outcomes,parent,admissions_process:1|career_outcomes:1,parent:2,Data - Shivansh.csv,four year cost of University of Washington including housing,complex,complex,0.5181566269016028,accepted_model_prediction,4.413827000007586,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0077,92419668bb02d7b6,universities with public transportation access,universities with public transportation access,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,highschool_student,attribute_lookup:1,highschool_student:1,Data - Ridhi.csv,universities with public transportation access,medium,short_circuit,0.5129148383415788,short_circuit_safety_escalation,4.002236000005155,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0281,215617fd275140d0,unis w big hackathon culture,unis w big hackathon culture,medium,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,filtered_search,high_school_student,filtered_search:1,high_school_student:1,Data Anthony.csv,unis w big hackathon culture,llm_needed,llm_needed,0.4943352277721797,accepted_model_prediction,3.998049000003334,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0184,6d6a94daa7c4f113,create reach target safety list for psychology in California full ride options,create reach target safety list for psychology in california full ride options,medium,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,career_outcomes,advisor,career_outcomes:1,advisor:1,Data - Shivansh.csv,create reach target safety list for psychology in California full ride options,llm_needed,llm_needed,0.4937470405770091,accepted_model_prediction,4.052090999991265,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0043,14548b70b21a2266,what is the FAFSA and when should we fill it out,what is the fafsa and when should we fill it out,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,advisory,parent,advisory:1,parent:1,Data - Ridhi.csv,what is the FAFSA and when should we fill it out,medium,medium,0.49087528032076716,accepted_model_prediction,3.9395299999966937,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0050,17b220811ffce736,how employers evaluate certificates vs minors,how employers evaluate certificates vs minors,medium,unanimous_observed,1.0,All valid historical route labels agree,1,guidance,advisor,guidance:1,advisor:1,Data - Anika.csv,how employers evaluate certificates vs minors,complex,complex,0.48928556482145874,accepted_model_prediction,3.945669999993129,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0024,0808f3c939926fc3,universities with low textbook costs,universities with low textbook costs,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,highschool_student,attribute_lookup:1,highschool_student:1,Data - Ridhi.csv,universities with low textbook costs,medium,medium,0.4845539917531269,accepted_model_prediction,3.9576779999919154,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0105,8226823fc69fb7a3,schools with strong bioinformatics programs,schools with strong bioinformatics programs,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,highschool_student,attribute_lookup:1,highschool_student:1,Data - Edward.csv,schools with strong bioinformatics programs,medium,short_circuit,0.47914646638646796,short_circuit_safety_escalation,4.049276000003488,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0296,7309c946b8a02f23,how to implement intrusive advising to support struggling students,how to implement intrusive advising to support struggling students,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,college,attribute_lookup:1,college:1,Data - Edward.csv,how to implement intrusive advising to support struggling students,medium,short_circuit,0.47764482622538235,short_circuit_safety_escalation,4.04210599999999,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0146,06c2eb5e1d296e32,colleges with strong parental communication policies,colleges with strong parental communication policies,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,parent,attribute_lookup:1,parent:1,Data - Edward.csv,colleges with strong parental communication policies,medium,medium,0.46698741051129405,accepted_model_prediction,3.9825059999998302,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0200,2bd01ddef65d7857,civil eng infrastructure bill demand spike,civil eng infrastructure bill demand spike,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,government_workforce_analyst,attribute_lookup:1,government_workforce_analyst:1,Data - Nimisha.csv,civil eng infrastructure bill demand spike,medium,short_circuit,0.46454726243729416,short_circuit_safety_escalation,3.986913000005643,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0258,bd9ef4450c043ec9,good schools if i like problem solving more than coding,good schools if i like problem solving more than coding,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,advisory,high_school_student,advisory:1,high_school_student:1,Data Anthony.csv,good schools if i like problem solving more than coding,complex,complex,0.45389229431667527,accepted_model_prediction,4.056696999995779,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0154,a7983cf31f1794b9,does baylor have good support services for students from low income backgrounds,does baylor have good support services for students from low income backgrounds,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,parent,attribute_lookup:1,parent:1,Data Anthony.csv,does baylor have good support services for students from low income backgrounds,llm_needed,llm_needed,0.4452731674780994,global_low_confidence_escalation,4.0268720000113944,0.0,calibrated_word_char_shape_linearsvc,real,False,False
qirv1-0237,6e0e59a35b18a823,can I take grad-level classes as an undergrad,can i take grad-level classes as an undergrad,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,1,attribute_lookup,college_student,attribute_lookup:1,college_student:1,Data - Edward.csv,can I take grad-level classes as an undergrad,llm_needed,short_circuit,0.4417060530806549,global_low_confidence_escalation,4.057557999999517,0.0,calibrated_word_char_shape_linearsvc,real,False,False
